,text child,image child,href child,date_time child,indv_tag,url
0,['LirQs - For Creators'],[''],[''],[''],"['<span class=""logo-text"">LirQs - For Creators</span>']",https://blog.lirqs.com
1,"['Home', 'About', 'Collection', 'Author', 'Portal']",[''],"['https://blog.lirqs.com/', 'https://blog.lirqs.com/about/', 'https://blog.lirqs.com/tag/getting-started/', 'https://blog.lirqs.com/author/ghost/', 'https://blog.lirqs.com/portal/']",[''],"['<a class=""menu-item menu-item-home"" href=""https://blog.lirqs.com/"">Home</a>', '<a class=""menu-item menu-item-about"" href=""https://blog.lirqs.com/about/"">About</a>', '<a class=""menu-item menu-item-collection"" href=""https://blog.lirqs.com/tag/getting-started/"">Collection</a>', '<a class=""menu-item menu-item-author"" href=""https://blog.lirqs.com/author/ghost/"">Author</a>', '<a class=""menu-item menu-item-portal"" href=""https://blog.lirqs.com/portal/"">Portal</a>']",https://blog.lirqs.com/
2,"['Home', 'About', 'Collection', 'Author', 'Portal']",[''],"['https://blog.lirqs.com/', 'https://blog.lirqs.com/about/', 'https://blog.lirqs.com/tag/getting-started/', 'https://blog.lirqs.com/author/ghost/', 'https://blog.lirqs.com/portal/']",[''],"['<a class=""menu-item menu-item-home"" href=""https://blog.lirqs.com/"">Home</a>', '<a class=""menu-item menu-item-about"" href=""https://blog.lirqs.com/about/"">About</a>', '<a class=""menu-item menu-item-collection"" href=""https://blog.lirqs.com/tag/getting-started/"">Collection</a>', '<a class=""menu-item menu-item-author"" href=""https://blog.lirqs.com/author/ghost/"">Author</a>', '<a class=""menu-item menu-item-portal"" href=""https://blog.lirqs.com/portal/"">Portal</a>']",https://blog.lirqs.com/author/ghost/
3,"['Home', 'About', 'Collection', 'Author', 'Portal']",[''],"['https://blog.lirqs.com/', 'https://blog.lirqs.com/about/', 'https://blog.lirqs.com/tag/getting-started/', 'https://blog.lirqs.com/author/ghost/', 'https://blog.lirqs.com/portal/']",[''],"['<a class=""menu-item menu-item-home"" href=""https://blog.lirqs.com/"">Home</a>', '<a class=""menu-item menu-item-about"" href=""https://blog.lirqs.com/about/"">About</a>', '<a class=""menu-item menu-item-collection"" href=""https://blog.lirqs.com/tag/getting-started/"">Collection</a>', '<a class=""menu-item menu-item-author"" href=""https://blog.lirqs.com/author/ghost/"">Author</a>', '<a class=""menu-item menu-item-portal"" href=""https://blog.lirqs.com/portal/"">Portal</a>']",https://blog.lirqs.com/portal/
4,"['Jan', '18', None, 'TERE SANG YAARA SONG', 'Teri Sang Yaara This song is from the movie Crime thriller Rustom sung by the famous singer Atif Aslam. Akshay', 'Jan 18, 2023', '2 min read']","['', '/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg']","['', '/tere-sang-yaara/']","['', '2023-01-18']","['<div class=""feed-calendar-month"">\n            Jan\n        </div>', '<div class=""feed-calendar-day"">\n            18\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg 400w,\n/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg 750w,\n/content/images/size/w960/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg 960w,\n/content/images/size/w1140/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--1-.jpeg"" alt=""TERE SANG YAARA SONG"" loading=""lazy"">', '<h2 class=""feed-title"">TERE SANG YAARA SONG</h2>', '<div class=""feed-excerpt"">Teri Sang Yaara This song is from the movie Crime thriller Rustom sung by the famous singer Atif Aslam. Akshay</div>', '<time class=""feed-date"" datetime=""2023-01-18"">\n                Jan 18, 2023\n            </time>', '<div class=""feed-length"">\n                    2 min read\n                </div>', '<a class=""u-permalink"" href=""/tere-sang-yaara/"" aria-label=""TERE SANG YAARA SONG""></a>']",https://blog.lirqs.com/tere-sang-yaara/
5,"['Jan', '18', None, 'MEHERBANI SONG', 'Meherbani Song This is a beautiful song from the movie The Shaukeens which is sung by Jubin Nautiyal . It’s', 'Jan 18, 2023', '2 min read']","['', '/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg']","['', '/meherbani-song/']","['', '2023-01-18']","['<div class=""feed-calendar-month"">\n            Jan\n        </div>', '<div class=""feed-calendar-day"">\n            18\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg 400w,\n/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg 750w,\n/content/images/size/w960/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg 960w,\n/content/images/size/w1140/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.14-1.jpeg"" alt=""MEHERBANI SONG"" loading=""lazy"">', '<h2 class=""feed-title"">MEHERBANI SONG</h2>', '<div class=""feed-excerpt"">Meherbani Song This is a beautiful song from the movie The Shaukeens which is sung by Jubin Nautiyal . It’s</div>', '<time class=""feed-date"" datetime=""2023-01-18"">\n                Jan 18, 2023\n            </time>', '<div class=""feed-length"">\n                    2 min read\n                </div>', '<a class=""u-permalink"" href=""/meherbani-song/"" aria-label=""MEHERBANI SONG""></a>']",https://blog.lirqs.com/meherbani-song/
6,"['Jan', '18', None, 'LALA BHEEMLA SONG', 'Lala Bheemla Song Lala Bheemla Song is from the latest movie Bheemla Nayak. It is a song with The lead', 'Jan 18, 2023', '1 min read']","['', '/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg']","['', '/lala-bheemla-song/']","['', '2023-01-18']","['<div class=""feed-calendar-month"">\n            Jan\n        </div>', '<div class=""feed-calendar-day"">\n            18\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg 400w,\n/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg 750w,\n/content/images/size/w960/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg 960w,\n/content/images/size/w1140/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13-1.jpeg"" alt=""LALA BHEEMLA SONG"" loading=""lazy"">', '<h2 class=""feed-title"">LALA BHEEMLA SONG</h2>', '<div class=""feed-excerpt"">Lala Bheemla Song Lala Bheemla Song is from the latest movie Bheemla Nayak. It is a song with The lead</div>', '<time class=""feed-date"" datetime=""2023-01-18"">\n                Jan 18, 2023\n            </time>', '<div class=""feed-length"">\n                    1 min read\n                </div>', '<a class=""u-permalink"" href=""/lala-bheemla-song/"" aria-label=""LALA BHEEMLA SONG""></a>']",https://blog.lirqs.com/lala-bheemla-song/
7,"['Jan', '18', None, 'BAARISHEIN', 'Baarishein SongThis is a beautiful song Sung by Anuv Jain .It was published in his own youtube channel. It was', 'Jan 18, 2023', '2 min read']","['', '/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg']","['', '/baarishein/']","['', '2023-01-18']","['<div class=""feed-calendar-month"">\n            Jan\n        </div>', '<div class=""feed-calendar-day"">\n            18\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg 400w,\n/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg 750w,\n/content/images/size/w960/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg 960w,\n/content/images/size/w1140/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2023/01/WhatsApp-Image-2023-01-19-at-22.04.13--2--1.jpeg"" alt=""BAARISHEIN"" loading=""lazy"">', '<h2 class=""feed-title"">BAARISHEIN</h2>', '<div class=""feed-excerpt"">Baarishein SongThis is a beautiful song Sung by Anuv Jain .It was published in his own youtube channel. It was</div>', '<time class=""feed-date"" datetime=""2023-01-18"">\n                Jan 18, 2023\n            </time>', '<div class=""feed-length"">\n                    2 min read\n                </div>', '<a class=""u-permalink"" href=""/baarishein/"" aria-label=""BAARISHEIN""></a>']",https://blog.lirqs.com/baarishein/
8,"['Dec', '20', None, 'Stages of Music Production by the Popular Musicians', 'What is Music? In general, every sound is a piece of music whether chirping of birds and waves lapping against', 'Dec 20, 2021', '2 min read']","['', '/content/images/size/w750/2021/12/What-is-music.jpeg']","['', '/stages-of-music-production-by-the-popular-musicians/']","['', '2021-12-20']","['<div class=""feed-calendar-month"">\n            Dec\n        </div>', '<div class=""feed-calendar-day"">\n            20\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2021/12/What-is-music.jpeg 400w,\n/content/images/size/w750/2021/12/What-is-music.jpeg 750w,\n/content/images/size/w960/2021/12/What-is-music.jpeg 960w,\n/content/images/size/w1140/2021/12/What-is-music.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2021/12/What-is-music.jpeg"" alt=""Stages of Music Production by the Popular Musicians"" loading=""lazy"">', '<h2 class=""feed-title"">Stages of Music Production by the Popular Musicians</h2>', '<div class=""feed-excerpt"">What is Music? In general, every sound is a piece of music whether chirping of birds and waves lapping against</div>', '<time class=""feed-date"" datetime=""2021-12-20"">\n                Dec 20, 2021\n            </time>', '<div class=""feed-length"">\n                    2 min read\n                </div>', '<a class=""u-permalink"" href=""/stages-of-music-production-by-the-popular-musicians/"" aria-label=""Stages of Music Production by the Popular Musicians""></a>']",https://blog.lirqs.com/stages-of-music-production-by-the-popular-musicians/
9,"['Dec', '18', None, 'Life History of Top 10 Best Musicians in India', 'When we talk about songs it comes up with Music, lyrics, composition, and many other things. Here we are talking', 'Dec 18, 2021', '3 min read']","['', '/content/images/size/w750/2021/12/Top-10-best-musicians.jpeg']","['', '/life-history-of-top-10-best-musicians-in-india/']","['', '2021-12-18']","['<div class=""feed-calendar-month"">\n            Dec\n        </div>', '<div class=""feed-calendar-day"">\n            18\n        </div>', '<img class=""u-object-fit"" srcset=""/content/images/size/w400/2021/12/Top-10-best-musicians.jpeg 400w,\n/content/images/size/w750/2021/12/Top-10-best-musicians.jpeg 750w,\n/content/images/size/w960/2021/12/Top-10-best-musicians.jpeg 960w,\n/content/images/size/w1140/2021/12/Top-10-best-musicians.jpeg 1140w"" sizes=""(min-width: 576px) 160px, 90vw"" src=""/content/images/size/w750/2021/12/Top-10-best-musicians.jpeg"" alt=""Life History of Top 10 Best Musicians in India"" loading=""lazy"">', '<h2 class=""feed-title"">Life History of Top 10 Best Musicians in India</h2>', '<div class=""feed-excerpt"">When we talk about songs it comes up with Music, lyrics, composition, and many other things. Here we are talking</div>', '<time class=""feed-date"" datetime=""2021-12-18"">\n                Dec 18, 2021\n            </time>', '<div class=""feed-length"">\n                    3 min read\n                </div>', '<a class=""u-permalink"" href=""/life-history-of-top-10-best-musicians-in-india/"" aria-label=""Life History of Top 10 Best Musicians in India""></a>']",https://blog.lirqs.com/life-history-of-top-10-best-musicians-in-india/
